id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,comment_text_clean,toxicity_score
sample_0,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_1,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_2,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_3,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_4,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_5,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_6,You're absolutely wrong about this,1,0,1,0,1,0,youre absolutely wrong about this,1
sample_7,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_8,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_9,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_10,This content is inappropriate,1,0,0,0,0,0,this content is inappropriate,1
sample_11,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_12,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_13,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_14,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_15,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_16,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_17,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_18,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_19,That's an interesting point to consider,0,0,0,0,0,0,thats an interesting point to consider,0
sample_20,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_21,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_22,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_23,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_24,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_25,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_26,I'd like to learn more about this,0,0,0,0,0,0,id like to learn more about this,0
sample_27,Your argument makes no sense,1,0,0,0,0,0,your argument makes no sense,1
sample_28,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_29,"Great discussion, everyone",0,0,0,0,0,0,great discussion everyone,0
sample_30,This is completely unacceptable behavior,1,0,0,0,1,0,this is completely unacceptable behavior,1
sample_31,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_32,Thanks for sharing this information,0,0,0,0,0,0,thanks for sharing this information,0
sample_33,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
sample_34,I appreciate your perspective on this topic,0,0,0,0,0,0,i appreciate your perspective on this topic,0
